http://dbpedia.org/resource/Petrine_Baroque,1620,1720
http://dbpedia.org/resource/Sicilian_Baroque,1693,1745
http://dbpedia.org/resource/English_Baroque,1666,1713
http://dbpedia.org/resource/Rococo_architecture,1659,
http://dbpedia.org/resource/Palladian_architecture,1616,1680
http://dbpedia.org/resource/Naryshkin_Baroque,1620,1720
http://dbpedia.org/resource/Jacobean_architecture,1603,1625
http://dbpedia.org/resource/Baroque_architecture,1600,
http://dbpedia.org/resource/Elizabethan_architecture,1533,1603
http://dbpedia.org/resource/Russian_architecture,1330,1630
http://dbpedia.org/resource/Mannerism,1527,1600
http://dbpedia.org/resource/Spanish_Colonial_style,1520,1550
http://dbpedia.org/resource/Renaissance_architecture,,
http://dbpedia.org/resource/Manueline,1490,1550
http://dbpedia.org/resource/Tudor_style_architecture,1485,1603
http://dbpedia.org/resource/Renaissance_architecture,1400,1600
http://dbpedia.org/resource/Sondergotik,1350,1550
http://dbpedia.org/resource/Perpendicular_Period,1350,1550
http://dbpedia.org/resource/Brick_Gothic,1350,1400
http://dbpedia.org/resource/Decorated_Period,1290,1350
http://dbpedia.org/resource/Russian_architecture,1230,1530
http://dbpedia.org/resource/Early_English_Period,1190,1250
http://dbpedia.org/resource/Gothic_architecture,1200,1400
http://dbpedia.org/resource/Mudéjar,1120,1599
http://dbpedia.org/resource/Norman_architecture,1074,1250
http://dbpedia.org/resource/Romanesque_architecture,1050,1170
http://dbpedia.org/resource/Architecture_of_Kievan_Rus,1000,1250
http://dbpedia.org/resource/Hoysala_architecture,1000,1300
